 ,X,GFP,FM4,i,Fac_0,Fac_1
1793,-1.336,0.033,0.033,37,pinc16,11
1794,-1.214,0.039,0.040,37,pinc16,11
1795,-1.093,0.046,0.047,37,pinc16,11
1796,-0.971,0.054,0.054,37,pinc16,11
1797,-0.850,0.061,0.066,37,pinc16,11
1798,-0.729,0.071,0.090,37,pinc16,11
1799,-0.607,0.092,0.126,37,pinc16,11
1800,-0.486,0.126,0.182,37,pinc16,11
1801,-0.364,0.178,0.284,37,pinc16,11
1802,-0.243,0.280,0.480,37,pinc16,11
1803,-0.121,0.464,0.769,37,pinc16,11
1804,0.000,0.707,1.000,37,pinc16,11
1805,0.121,0.913,0.963,37,pinc16,11
1806,0.243,1.018,0.685,37,pinc16,11
1807,0.364,1.027,0.417,37,pinc16,11
1808,0.486,0.955,0.290,37,pinc16,11
1809,0.607,0.864,0.234,37,pinc16,11
1810,0.729,0.812,0.187,37,pinc16,11
1811,0.850,0.781,0.147,37,pinc16,11
1812,0.971,0.769,0.122,37,pinc16,11
1813,1.093,0.781,0.109,37,pinc16,11
1814,1.214,0.793,0.108,37,pinc16,11
1815,1.336,0.756,0.108,37,pinc16,11
1816,1.457,0.674,0.100,37,pinc16,11
1817,1.578,0.584,0.090,37,pinc16,11
1818,1.700,0.523,0.080,37,pinc16,11
1819,1.821,0.480,0.067,37,pinc16,11
1820,1.943,0.453,0.056,37,pinc16,11
1821,2.064,0.447,0.051,37,pinc16,11
1822,2.186,0.446,0.054,37,pinc16,11
1823,2.307,0.444,0.060,37,pinc16,11
1824,2.428,0.446,0.062,37,pinc16,11
1825,2.550,0.473,0.064,37,pinc16,11
1826,2.671,0.526,0.071,37,pinc16,11
1827,2.793,0.600,0.081,37,pinc16,11
1828,2.914,0.669,0.097,37,pinc16,11
1829,3.035,0.695,0.130,37,pinc16,11
1830,3.157,0.651,0.186,37,pinc16,11
1831,-2.417,0.009,0.014,38,pinc16,11
1832,-2.296,0.010,0.016,38,pinc16,11
1833,-2.175,0.013,0.015,38,pinc16,11
1834,-2.054,0.018,0.015,38,pinc16,11
1835,-1.934,0.022,0.018,38,pinc16,11
1836,-1.813,0.023,0.023,38,pinc16,11
1837,-1.692,0.024,0.026,38,pinc16,11
1838,-1.571,0.028,0.028,38,pinc16,11
1839,-1.450,0.034,0.033,38,pinc16,11
1840,-1.329,0.042,0.040,38,pinc16,11
1841,-1.208,0.050,0.048,38,pinc16,11
1842,-1.088,0.058,0.057,38,pinc16,11
1843,-0.967,0.065,0.069,38,pinc16,11
1844,-0.846,0.076,0.086,38,pinc16,11
1845,-0.725,0.097,0.113,38,pinc16,11
1846,-0.604,0.127,0.157,38,pinc16,11
1847,-0.483,0.178,0.242,38,pinc16,11
1848,-0.363,0.270,0.410,38,pinc16,11
1849,-0.242,0.418,0.665,38,pinc16,11
1850,-0.121,0.616,0.917,38,pinc16,11
1851,0.000,0.811,1.000,38,pinc16,11
1852,0.121,0.898,0.803,38,pinc16,11
1853,0.242,0.844,0.497,38,pinc16,11
1854,0.363,0.737,0.312,38,pinc16,11
1855,0.483,0.700,0.240,38,pinc16,11
1856,0.604,0.761,0.194,38,pinc16,11
1857,0.725,0.901,0.153,38,pinc16,11
1858,0.846,1.012,0.125,38,pinc16,11
1859,0.967,0.988,0.104,38,pinc16,11
1860,1.088,0.808,0.085,38,pinc16,11
1861,1.208,0.570,0.065,38,pinc16,11
1862,1.329,0.359,0.046,38,pinc16,11
1863,1.450,0.224,0.032,38,pinc16,11
1864,1.571,0.152,0.024,38,pinc16,11
1865,1.692,0.116,0.020,38,pinc16,11
1866,1.813,0.102,0.017,38,pinc16,11
1867,1.934,0.097,0.014,38,pinc16,11
1868,2.054,0.091,0.014,38,pinc16,11
1869,2.175,0.080,0.014,38,pinc16,11
1870,2.296,0.067,0.014,38,pinc16,11
1871,2.417,0.061,0.012,38,pinc16,11
1872,2.538,0.063,0.010,38,pinc16,11
1873,2.659,0.063,0.009,38,pinc16,11
1874,2.779,0.062,0.008,38,pinc16,11
1875,2.900,0.059,0.007,38,pinc16,11
1876,3.021,0.058,0.006,38,pinc16,11
1877,3.142,0.058,0.006,38,pinc16,11
1878,3.263,0.063,0.005,38,pinc16,11
1879,3.384,0.066,0.005,38,pinc16,11
1880,3.505,0.069,0.005,38,pinc16,11
1881,3.625,0.071,0.004,38,pinc16,11
1882,3.746,0.071,0.004,38,pinc16,11
1883,-2.437,0.040,0.024,39,pinc16,11
1884,-2.316,0.044,0.026,39,pinc16,11
1885,-2.194,0.053,0.028,39,pinc16,11
1886,-2.072,0.058,0.030,39,pinc16,11
1887,-1.950,0.064,0.036,39,pinc16,11
1888,-1.828,0.077,0.044,39,pinc16,11
1889,-1.706,0.092,0.050,39,pinc16,11
1890,-1.584,0.102,0.056,39,pinc16,11
1891,-1.462,0.102,0.064,39,pinc16,11
1892,-1.341,0.106,0.073,39,pinc16,11
1893,-1.219,0.127,0.085,39,pinc16,11
1894,-1.097,0.156,0.102,39,pinc16,11
1895,-0.975,0.182,0.123,39,pinc16,11
1896,-0.853,0.210,0.152,39,pinc16,11
1897,-0.731,0.246,0.198,39,pinc16,11
1898,-0.609,0.300,0.279,39,pinc16,11
1899,-0.487,0.375,0.411,39,pinc16,11
1900,-0.366,0.467,0.604,39,pinc16,11
1901,-0.244,0.593,0.826,39,pinc16,11
1902,-0.122,0.769,0.993,39,pinc16,11
1903,0.000,0.949,1.000,39,pinc16,11
1904,0.122,1.045,0.836,39,pinc16,11
1905,0.244,1.006,0.599,39,pinc16,11
1906,0.366,0.889,0.402,39,pinc16,11
1907,0.487,0.783,0.293,39,pinc16,11
1908,0.609,0.726,0.254,39,pinc16,11
1909,0.731,0.695,0.233,39,pinc16,11
1910,0.853,0.667,0.210,39,pinc16,11
1911,0.975,0.644,0.186,39,pinc16,11
1912,1.097,0.643,0.160,39,pinc16,11
1913,1.219,0.663,0.139,39,pinc16,11
1914,1.341,0.695,0.127,39,pinc16,11
1915,1.462,0.719,0.116,39,pinc16,11
1916,1.584,0.718,0.104,39,pinc16,11
1917,1.706,0.695,0.093,39,pinc16,11
1918,1.828,0.648,0.085,39,pinc16,11
1919,1.950,0.592,0.079,39,pinc16,11
1920,2.072,0.569,0.076,39,pinc16,11
1921,2.194,0.570,0.076,39,pinc16,11
1922,2.316,0.555,0.078,39,pinc16,11
1923,2.437,0.504,0.076,39,pinc16,11
1924,2.559,0.427,0.068,39,pinc16,11
1925,2.681,0.340,0.058,39,pinc16,11
1926,2.803,0.262,0.050,39,pinc16,11
1927,2.925,0.220,0.047,39,pinc16,11
1928,3.047,0.212,0.045,39,pinc16,11
1929,3.169,0.215,0.040,39,pinc16,11
1930,3.290,0.207,0.033,39,pinc16,11
1931,3.412,0.188,0.027,39,pinc16,11
1932,3.534,0.171,0.023,39,pinc16,11
1933,3.656,0.152,0.021,39,pinc16,11
1934,3.778,0.130,0.018,39,pinc16,11
1935,3.900,0.108,0.016,39,pinc16,11
1936,4.022,0.094,0.013,39,pinc16,11
1937,4.144,0.090,0.012,39,pinc16,11
1938,4.265,0.089,0.012,39,pinc16,11
1939,4.387,0.084,0.011,39,pinc16,11
1940,4.509,0.081,0.010,39,pinc16,11
1941,4.631,0.082,0.010,39,pinc16,11
1942,4.753,0.086,0.010,39,pinc16,11
1943,4.875,0.089,0.010,39,pinc16,11
1944,4.997,0.091,0.010,39,pinc16,11
1945,5.118,0.093,0.012,39,pinc16,11
1946,5.240,0.093,0.013,39,pinc16,11
1947,5.362,0.096,0.012,39,pinc16,11
1948,5.484,0.098,0.011,39,pinc16,11
1949,5.606,0.092,0.010,39,pinc16,11
1950,5.728,0.082,0.009,39,pinc16,11
1951,5.850,0.078,0.009,39,pinc16,11
1952,5.972,0.077,0.010,39,pinc16,11
1953,6.093,0.077,0.010,39,pinc16,11
1954,6.215,0.078,0.010,39,pinc16,11
1955,6.337,0.072,0.008,39,pinc16,11
1956,-3.064,0.034,0.011,40,pinc16,11
1957,-2.941,0.038,0.013,40,pinc16,11
1958,-2.819,0.042,0.015,40,pinc16,11
1959,-2.696,0.045,0.014,40,pinc16,11
1960,-2.574,0.050,0.014,40,pinc16,11
1961,-2.451,0.054,0.017,40,pinc16,11
1962,-2.329,0.055,0.020,40,pinc16,11
1963,-2.206,0.060,0.022,40,pinc16,11
1964,-2.084,0.069,0.023,40,pinc16,11
1965,-1.961,0.074,0.026,40,pinc16,11
1966,-1.838,0.076,0.030,40,pinc16,11
1967,-1.716,0.076,0.035,40,pinc16,11
1968,-1.593,0.083,0.041,40,pinc16,11
1969,-1.471,0.092,0.049,40,pinc16,11
1970,-1.348,0.099,0.059,40,pinc16,11
1971,-1.226,0.105,0.069,40,pinc16,11
1972,-1.103,0.121,0.082,40,pinc16,11
1973,-0.980,0.151,0.097,40,pinc16,11
1974,-0.858,0.189,0.114,40,pinc16,11
1975,-0.735,0.234,0.141,40,pinc16,11
1976,-0.613,0.290,0.196,40,pinc16,11
1977,-0.490,0.353,0.292,40,pinc16,11
1978,-0.368,0.437,0.436,40,pinc16,11
1979,-0.245,0.552,0.636,40,pinc16,11
1980,-0.123,0.694,0.856,40,pinc16,11
1981,0.000,0.848,1.000,40,pinc16,11
1982,0.123,0.979,0.970,40,pinc16,11
1983,0.245,1.037,0.788,40,pinc16,11
1984,0.368,0.984,0.571,40,pinc16,11
1985,0.490,0.871,0.405,40,pinc16,11
1986,0.613,0.784,0.311,40,pinc16,11
1987,0.735,0.756,0.261,40,pinc16,11
1988,0.858,0.739,0.225,40,pinc16,11
1989,0.980,0.687,0.192,40,pinc16,11
1990,1.103,0.626,0.169,40,pinc16,11
1991,1.226,0.604,0.152,40,pinc16,11
1992,1.348,0.633,0.137,40,pinc16,11
1993,1.471,0.710,0.119,40,pinc16,11
1994,1.593,0.791,0.100,40,pinc16,11
1995,1.716,0.800,0.081,40,pinc16,11
1996,1.838,0.710,0.065,40,pinc16,11
1997,1.961,0.555,0.054,40,pinc16,11
1998,2.084,0.389,0.046,40,pinc16,11
1999,2.206,0.276,0.041,40,pinc16,11
2000,2.329,0.223,0.037,40,pinc16,11
2001,2.451,0.192,0.031,40,pinc16,11
2002,2.574,0.164,0.025,40,pinc16,11
2003,2.696,0.138,0.021,40,pinc16,11
2004,2.819,0.119,0.018,40,pinc16,11
2005,2.941,0.110,0.016,40,pinc16,11
2006,3.064,0.108,0.014,40,pinc16,11
2007,3.187,0.100,0.013,40,pinc16,11
2008,3.309,0.092,0.011,40,pinc16,11
2009,3.432,0.096,0.010,40,pinc16,11
2010,3.554,0.103,0.011,40,pinc16,11
2011,3.677,0.098,0.011,40,pinc16,11
2012,3.799,0.091,0.010,40,pinc16,11
2013,3.922,0.093,0.010,40,pinc16,11
2014,-2.670,0.020,0.014,41,pinc16,11
2015,-2.548,0.023,0.016,41,pinc16,11
2016,-2.427,0.023,0.017,41,pinc16,11
2017,-2.306,0.023,0.019,41,pinc16,11
2018,-2.184,0.025,0.021,41,pinc16,11
2019,-2.063,0.028,0.022,41,pinc16,11
2020,-1.942,0.030,0.023,41,pinc16,11
2021,-1.820,0.032,0.026,41,pinc16,11
2022,-1.699,0.035,0.030,41,pinc16,11
2023,-1.578,0.039,0.035,41,pinc16,11
2024,-1.456,0.045,0.043,41,pinc16,11
2025,-1.335,0.056,0.052,41,pinc16,11
2026,-1.214,0.066,0.064,41,pinc16,11
2027,-1.092,0.076,0.079,41,pinc16,11
2028,-0.971,0.091,0.099,41,pinc16,11
2029,-0.849,0.113,0.125,41,pinc16,11
2030,-0.728,0.142,0.165,41,pinc16,11
2031,-0.607,0.182,0.231,41,pinc16,11
2032,-0.485,0.239,0.345,41,pinc16,11
2033,-0.364,0.321,0.527,41,pinc16,11
2034,-0.243,0.423,0.765,41,pinc16,11
2035,-0.121,0.525,0.967,41,pinc16,11
2036,0.000,0.595,1.000,41,pinc16,11
2037,0.121,0.599,0.833,41,pinc16,11
2038,0.243,0.542,0.584,41,pinc16,11
2039,0.364,0.460,0.397,41,pinc16,11
2040,0.485,0.408,0.296,41,pinc16,11
2041,0.607,0.419,0.237,41,pinc16,11
2042,0.728,0.498,0.195,41,pinc16,11
2043,0.849,0.651,0.162,41,pinc16,11
2044,0.971,0.853,0.134,41,pinc16,11
2045,1.092,1.005,0.112,41,pinc16,11
2046,1.214,1.046,0.097,41,pinc16,11
2047,1.335,1.003,0.089,41,pinc16,11
2048,1.456,0.946,0.084,41,pinc16,11
2049,1.578,0.888,0.076,41,pinc16,11
2050,1.699,0.736,0.063,41,pinc16,11
2051,1.820,0.495,0.049,41,pinc16,11
2052,1.942,0.292,0.038,41,pinc16,11
2053,2.063,0.185,0.030,41,pinc16,11
2054,2.184,0.138,0.024,41,pinc16,11
2055,2.306,0.116,0.020,41,pinc16,11
2056,2.427,0.106,0.016,41,pinc16,11
2057,2.548,0.096,0.015,41,pinc16,11
2058,2.670,0.085,0.015,41,pinc16,11
2059,2.791,0.076,0.015,41,pinc16,11
2060,2.912,0.070,0.012,41,pinc16,11
2061,3.034,0.070,0.010,41,pinc16,11
2062,3.155,0.074,0.009,41,pinc16,11
2063,3.277,0.074,0.009,41,pinc16,11
2064,-2.942,0.027,0.016,42,pinc16,11
2065,-2.820,0.024,0.016,42,pinc16,11
2066,-2.697,0.022,0.017,42,pinc16,11
2067,-2.574,0.024,0.018,42,pinc16,11
2068,-2.452,0.029,0.019,42,pinc16,11
2069,-2.329,0.033,0.018,42,pinc16,11
2070,-2.207,0.034,0.017,42,pinc16,11
2071,-2.084,0.033,0.019,42,pinc16,11
2072,-1.961,0.033,0.023,42,pinc16,11
2073,-1.839,0.038,0.028,42,pinc16,11
2074,-1.716,0.041,0.032,42,pinc16,11
2075,-1.594,0.041,0.034,42,pinc16,11
2076,-1.471,0.042,0.038,42,pinc16,11
2077,-1.348,0.046,0.044,42,pinc16,11
2078,-1.226,0.056,0.053,42,pinc16,11
2079,-1.103,0.072,0.065,42,pinc16,11
2080,-0.981,0.087,0.080,42,pinc16,11
2081,-0.858,0.096,0.099,42,pinc16,11
2082,-0.736,0.115,0.128,42,pinc16,11
2083,-0.613,0.163,0.183,42,pinc16,11
2084,-0.490,0.243,0.288,42,pinc16,11
2085,-0.368,0.362,0.469,42,pinc16,11
2086,-0.245,0.524,0.718,42,pinc16,11
2087,-0.123,0.707,0.946,42,pinc16,11
2088,0.000,0.864,1.000,42,pinc16,11
2089,0.123,0.975,0.830,42,pinc16,11
2090,0.245,1.031,0.564,42,pinc16,11
2091,0.368,1.038,0.361,42,pinc16,11
2092,0.490,1.011,0.248,42,pinc16,11
2093,0.613,0.947,0.186,42,pinc16,11
2094,0.736,0.874,0.148,42,pinc16,11
2095,0.858,0.822,0.123,42,pinc16,11
2096,0.981,0.795,0.105,42,pinc16,11
2097,1.103,0.777,0.090,42,pinc16,11
2098,1.226,0.742,0.077,42,pinc16,11
2099,1.348,0.651,0.065,42,pinc16,11
2100,1.471,0.516,0.054,42,pinc16,11
2101,1.594,0.388,0.046,42,pinc16,11
2102,1.716,0.292,0.039,42,pinc16,11
2103,1.839,0.228,0.032,42,pinc16,11
2104,1.961,0.184,0.025,42,pinc16,11
2105,2.084,0.154,0.021,42,pinc16,11
2106,2.207,0.136,0.018,42,pinc16,11
2107,2.329,0.126,0.017,42,pinc16,11
2108,2.452,0.116,0.017,42,pinc16,11
2109,2.574,0.106,0.016,42,pinc16,11
2110,2.697,0.095,0.014,42,pinc16,11
2111,2.820,0.090,0.013,42,pinc16,11
2112,2.942,0.088,0.012,42,pinc16,11
2113,3.065,0.080,0.011,42,pinc16,11
2114,3.187,0.071,0.010,42,pinc16,11
2115,3.310,0.070,0.009,42,pinc16,11
2116,3.433,0.072,0.009,42,pinc16,11
2117,3.555,0.073,0.009,42,pinc16,11
2118,3.678,0.071,0.008,42,pinc16,11
2119,3.800,0.065,0.007,42,pinc16,11
2120,3.923,0.058,0.006,42,pinc16,11
2121,4.045,0.054,0.006,42,pinc16,11
2122,4.168,0.056,0.006,42,pinc16,11
2123,4.291,0.057,0.006,42,pinc16,11
2124,4.413,0.056,0.007,42,pinc16,11
2125,4.536,0.057,0.008,42,pinc16,11
2126,4.658,0.058,0.007,42,pinc16,11
2127,4.781,0.060,0.007,42,pinc16,11
2128,-2.916,0.027,0.011,43,pinc16,11
2129,-2.795,0.028,0.011,43,pinc16,11
2130,-2.673,0.029,0.013,43,pinc16,11
2131,-2.552,0.031,0.015,43,pinc16,11
2132,-2.430,0.033,0.017,43,pinc16,11
2133,-2.309,0.035,0.019,43,pinc16,11
2134,-2.187,0.037,0.021,43,pinc16,11
2135,-2.066,0.042,0.022,43,pinc16,11
2136,-1.944,0.047,0.024,43,pinc16,11
2137,-1.823,0.051,0.028,43,pinc16,11
2138,-1.701,0.053,0.032,43,pinc16,11
2139,-1.580,0.057,0.036,43,pinc16,11
2140,-1.458,0.065,0.040,43,pinc16,11
2141,-1.337,0.077,0.045,43,pinc16,11
2142,-1.215,0.090,0.051,43,pinc16,11
2143,-1.094,0.096,0.059,43,pinc16,11
2144,-0.972,0.098,0.073,43,pinc16,11
2145,-0.851,0.110,0.090,43,pinc16,11
2146,-0.729,0.142,0.112,43,pinc16,11
2147,-0.608,0.186,0.143,43,pinc16,11
2148,-0.486,0.248,0.198,43,pinc16,11
2149,-0.365,0.358,0.310,43,pinc16,11
2150,-0.243,0.545,0.519,43,pinc16,11
2151,-0.122,0.785,0.800,43,pinc16,11
2152,0.000,0.976,1.000,43,pinc16,11
2153,0.122,1.040,0.939,43,pinc16,11
2154,0.243,1.011,0.661,43,pinc16,11
2155,0.365,0.973,0.393,43,pinc16,11
2156,0.486,0.913,0.236,43,pinc16,11
2157,0.608,0.801,0.159,43,pinc16,11
2158,0.729,0.680,0.118,43,pinc16,11
2159,0.851,0.611,0.094,43,pinc16,11
2160,0.972,0.593,0.080,43,pinc16,11
2161,1.094,0.626,0.072,43,pinc16,11
2162,1.215,0.735,0.067,43,pinc16,11
2163,1.337,0.844,0.061,43,pinc16,11
2164,1.458,0.846,0.056,43,pinc16,11
2165,1.580,0.700,0.050,43,pinc16,11
2166,1.701,0.472,0.043,43,pinc16,11
2167,1.823,0.284,0.034,43,pinc16,11
2168,1.944,0.182,0.026,43,pinc16,11
2169,2.066,0.135,0.020,43,pinc16,11
2170,2.187,0.114,0.016,43,pinc16,11
2171,2.309,0.105,0.015,43,pinc16,11
2172,2.430,0.097,0.014,43,pinc16,11
2173,2.552,0.095,0.013,43,pinc16,11
2174,2.673,0.095,0.013,43,pinc16,11
2175,2.795,0.091,0.012,43,pinc16,11
2176,2.916,0.090,0.011,43,pinc16,11
2177,3.038,0.094,0.010,43,pinc16,11
2178,3.159,0.094,0.009,43,pinc16,11
2179,3.281,0.092,0.008,43,pinc16,11
2180,3.402,0.092,0.008,43,pinc16,11
2181,3.524,0.088,0.009,43,pinc16,11
2182,3.645,0.079,0.008,43,pinc16,11
2183,3.767,0.070,0.008,43,pinc16,11
2184,3.888,0.064,0.008,43,pinc16,11
2185,4.010,0.062,0.007,43,pinc16,11
2186,4.131,0.060,0.006,43,pinc16,11
2187,4.253,0.059,0.006,43,pinc16,11
2188,4.374,0.062,0.006,43,pinc16,11
2189,-2.944,0.027,0.009,44,pinc16,11
2190,-2.821,0.029,0.009,44,pinc16,11
2191,-2.699,0.028,0.010,44,pinc16,11
2192,-2.576,0.028,0.012,44,pinc16,11
2193,-2.453,0.030,0.014,44,pinc16,11
2194,-2.331,0.031,0.017,44,pinc16,11
2195,-2.208,0.030,0.019,44,pinc16,11
2196,-2.085,0.032,0.020,44,pinc16,11
2197,-1.963,0.035,0.022,44,pinc16,11
2198,-1.840,0.040,0.024,44,pinc16,11
2199,-1.717,0.046,0.027,44,pinc16,11
2200,-1.595,0.052,0.032,44,pinc16,11
2201,-1.472,0.061,0.037,44,pinc16,11
2202,-1.349,0.069,0.043,44,pinc16,11
2203,-1.227,0.076,0.050,44,pinc16,11
2204,-1.104,0.086,0.062,44,pinc16,11
2205,-0.981,0.097,0.078,44,pinc16,11
2206,-0.859,0.111,0.099,44,pinc16,11
2207,-0.736,0.132,0.125,44,pinc16,11
2208,-0.613,0.168,0.163,44,pinc16,11
2209,-0.491,0.221,0.228,44,pinc16,11
2210,-0.368,0.322,0.358,44,pinc16,11
2211,-0.245,0.493,0.585,44,pinc16,11
2212,-0.123,0.725,0.860,44,pinc16,11
2213,0.000,0.947,1.000,44,pinc16,11
2214,0.123,1.031,0.884,44,pinc16,11
2215,0.245,0.944,0.610,44,pinc16,11
2216,0.368,0.777,0.375,44,pinc16,11
2217,0.491,0.653,0.248,44,pinc16,11
2218,0.613,0.588,0.186,44,pinc16,11
2219,0.736,0.565,0.149,44,pinc16,11
2220,0.859,0.563,0.122,44,pinc16,11
2221,0.981,0.567,0.101,44,pinc16,11
2222,1.104,0.593,0.084,44,pinc16,11
2223,1.227,0.642,0.072,44,pinc16,11
2224,1.349,0.696,0.063,44,pinc16,11
2225,1.472,0.759,0.056,44,pinc16,11
2226,1.595,0.865,0.050,44,pinc16,11
2227,1.717,0.985,0.045,44,pinc16,11
2228,1.840,1.049,0.041,44,pinc16,11
2229,1.963,1.033,0.038,44,pinc16,11
2230,2.085,0.955,0.035,44,pinc16,11
2231,2.208,0.827,0.031,44,pinc16,11
2232,2.331,0.650,0.025,44,pinc16,11
2233,2.453,0.456,0.020,44,pinc16,11
2234,2.576,0.311,0.017,44,pinc16,11
2235,2.699,0.218,0.015,44,pinc16,11
2236,2.821,0.167,0.013,44,pinc16,11
2237,2.944,0.132,0.011,44,pinc16,11
2238,3.067,0.107,0.010,44,pinc16,11
2239,3.189,0.091,0.008,44,pinc16,11
2240,3.312,0.082,0.007,44,pinc16,11
2241,3.435,0.077,0.006,44,pinc16,11
2242,3.557,0.078,0.006,44,pinc16,11
2243,3.680,0.076,0.006,44,pinc16,11
2244,3.802,0.069,0.006,44,pinc16,11
2245,3.925,0.066,0.006,44,pinc16,11
2246,4.048,0.067,0.006,44,pinc16,11
2247,4.170,0.067,0.006,44,pinc16,11
2248,4.293,0.063,0.006,44,pinc16,11
2249,4.416,0.062,0.005,44,pinc16,11
2250,4.538,0.063,0.005,44,pinc16,11
2251,4.661,0.062,0.005,44,pinc16,11
2252,4.784,0.061,0.005,44,pinc16,11
2253,4.906,0.066,0.004,44,pinc16,11
2254,5.029,0.069,0.004,44,pinc16,11
2255,5.152,0.066,0.004,44,pinc16,11
2256,5.274,0.061,0.005,44,pinc16,11
2257,-3.313,0.024,0.007,45,pinc16,11
2258,-3.190,0.022,0.008,45,pinc16,11
2259,-3.067,0.019,0.008,45,pinc16,11
2260,-2.945,0.021,0.008,45,pinc16,11
2261,-2.822,0.024,0.008,45,pinc16,11
2262,-2.699,0.025,0.009,45,pinc16,11
2263,-2.576,0.023,0.010,45,pinc16,11
2264,-2.454,0.024,0.011,45,pinc16,11
2265,-2.331,0.028,0.013,45,pinc16,11
2266,-2.208,0.029,0.015,45,pinc16,11
2267,-2.086,0.031,0.017,45,pinc16,11
2268,-1.963,0.035,0.020,45,pinc16,11
2269,-1.840,0.039,0.022,45,pinc16,11
2270,-1.718,0.043,0.023,45,pinc16,11
2271,-1.595,0.047,0.026,45,pinc16,11
2272,-1.472,0.052,0.033,45,pinc16,11
2273,-1.350,0.062,0.041,45,pinc16,11
2274,-1.227,0.074,0.051,45,pinc16,11
2275,-1.104,0.085,0.062,45,pinc16,11
2276,-0.982,0.100,0.074,45,pinc16,11
2277,-0.859,0.123,0.089,45,pinc16,11
2278,-0.736,0.147,0.112,45,pinc16,11
2279,-0.613,0.172,0.147,45,pinc16,11
2280,-0.491,0.218,0.208,45,pinc16,11
2281,-0.368,0.314,0.333,45,pinc16,11
2282,-0.245,0.472,0.563,45,pinc16,11
2283,-0.123,0.695,0.852,45,pinc16,11
2284,0.000,0.917,1.000,45,pinc16,11
2285,0.123,1.028,0.857,45,pinc16,11
2286,0.245,1.018,0.581,45,pinc16,11
2287,0.368,0.954,0.384,45,pinc16,11
2288,0.491,0.882,0.273,45,pinc16,11
2289,0.613,0.806,0.191,45,pinc16,11
2290,0.736,0.718,0.131,45,pinc16,11
2291,0.859,0.631,0.093,45,pinc16,11
2292,0.982,0.567,0.069,45,pinc16,11
2293,1.104,0.540,0.055,45,pinc16,11
2294,1.227,0.537,0.046,45,pinc16,11
2295,1.350,0.537,0.039,45,pinc16,11
2296,1.472,0.530,0.037,45,pinc16,11
2297,1.595,0.510,0.035,45,pinc16,11
2298,1.718,0.486,0.034,45,pinc16,11
2299,1.840,0.490,0.034,45,pinc16,11
2300,1.963,0.544,0.034,45,pinc16,11
2301,2.086,0.618,0.034,45,pinc16,11
2302,2.208,0.673,0.035,45,pinc16,11
2303,2.331,0.686,0.035,45,pinc16,11
2304,2.454,0.639,0.031,45,pinc16,11
2305,2.576,0.561,0.028,45,pinc16,11
2306,2.699,0.486,0.026,45,pinc16,11
2307,2.822,0.407,0.023,45,pinc16,11
2308,2.945,0.309,0.019,45,pinc16,11
2309,3.067,0.219,0.016,45,pinc16,11
2310,3.190,0.169,0.013,45,pinc16,11
2311,3.313,0.153,0.013,45,pinc16,11
2312,3.435,0.145,0.013,45,pinc16,11
2313,3.558,0.135,0.012,45,pinc16,11
2314,3.681,0.127,0.010,45,pinc16,11
2315,3.803,0.121,0.009,45,pinc16,11
2316,-2.215,0.045,0.025,46,pinc16,11
2317,-2.092,0.049,0.030,46,pinc16,11
2318,-1.969,0.054,0.035,46,pinc16,11
2319,-1.845,0.061,0.039,46,pinc16,11
2320,-1.722,0.070,0.043,46,pinc16,11
2321,-1.599,0.081,0.049,46,pinc16,11
2322,-1.476,0.095,0.061,46,pinc16,11
2323,-1.353,0.107,0.074,46,pinc16,11
2324,-1.230,0.115,0.087,46,pinc16,11
2325,-1.107,0.131,0.102,46,pinc16,11
2326,-0.984,0.158,0.121,46,pinc16,11
2327,-0.861,0.195,0.144,46,pinc16,11
2328,-0.738,0.234,0.182,46,pinc16,11
2329,-0.615,0.272,0.239,46,pinc16,11
2330,-0.492,0.330,0.326,46,pinc16,11
2331,-0.369,0.438,0.465,46,pinc16,11
2332,-0.246,0.596,0.674,46,pinc16,11
2333,-0.123,0.765,0.894,46,pinc16,11
2334,0.000,0.916,1.000,46,pinc16,11
2335,0.123,1.007,0.933,46,pinc16,11
2336,0.246,1.023,0.758,46,pinc16,11
2337,0.369,1.018,0.574,46,pinc16,11
2338,0.492,1.005,0.427,46,pinc16,11
2339,0.615,0.947,0.313,46,pinc16,11
2340,0.738,0.842,0.237,46,pinc16,11
2341,0.861,0.718,0.196,46,pinc16,11
2342,0.984,0.591,0.171,46,pinc16,11
2343,1.107,0.504,0.147,46,pinc16,11
2344,1.230,0.478,0.130,46,pinc16,11
2345,1.353,0.485,0.118,46,pinc16,11
2346,1.476,0.501,0.110,46,pinc16,11
2347,1.599,0.527,0.109,46,pinc16,11
2348,1.722,0.559,0.109,46,pinc16,11
2349,1.845,0.569,0.104,46,pinc16,11
2350,1.969,0.558,0.093,46,pinc16,11
2351,2.092,0.563,0.083,46,pinc16,11
2352,2.215,0.594,0.076,46,pinc16,11
2353,2.338,0.621,0.070,46,pinc16,11
2354,2.461,0.617,0.064,46,pinc16,11
2355,2.584,0.588,0.059,46,pinc16,11
2356,2.707,0.566,0.054,46,pinc16,11
2357,2.830,0.589,0.052,46,pinc16,11
2358,2.953,0.668,0.050,46,pinc16,11
2359,3.076,0.743,0.054,46,pinc16,11
2360,3.199,0.757,0.065,46,pinc16,11
2361,3.322,0.720,0.082,46,pinc16,11
2362,3.445,0.683,0.091,46,pinc16,11
2363,3.568,0.691,0.077,46,pinc16,11
2364,3.691,0.728,0.053,46,pinc16,11
2365,3.814,0.764,0.039,46,pinc16,11
